Approved symbol	Approved name	Previous symbols	Synonyms	Chromosome	Accession numbers	RefSeq IDs	Ensembl gene ID	NCBI Gene ID
RNU6-1094P	"RNA, U6 small nuclear 1094, pseudogene"			3q11.2			ENSG00000199286	106480047
RNU6-1095P	"RNA, U6 small nuclear 1095, pseudogene"			10p14			ENSG00000251957	106481525
RNU6-1096P	"RNA, U6 small nuclear 1096, pseudogene"			4q34.1			ENSG00000252898	106480700
RNU6-1097P	"RNA, U6 small nuclear 1097, pseudogene"			7p13			ENSG00000200456	106480048
RNU6-1098P	"RNA, U6 small nuclear 1098, pseudogene"			3q25.1			ENSG00000252581	106481935
RNU6-1099P	"RNA, U6 small nuclear 1099, pseudogene"			1p36.13			ENSG00000200403	106481526
RNU6-1100P	"RNA, U6 small nuclear 1100, pseudogene"			1p36.33			ENSG00000222623	106480049
RNU6-1101P	"RNA, U6 small nuclear 1101, pseudogene"			3q29			ENSG00000252053	106480050
RNU6-1102P	"RNA, U6 small nuclear 1102, pseudogene"			1p31.1			ENSG00000251958	106481527
RNU6-1103P	"RNA, U6 small nuclear 1103, pseudogene"			7p15.3			ENSG00000206877	106480051
RNU6-1104P	"RNA, U6 small nuclear 1104, pseudogene"			7q22.1			ENSG00000207454	106481528
RNU6-1105P	"RNA, U6 small nuclear 1105, pseudogene"			3q27.3			ENSG00000207505	106480052
RNU6-1106P	"RNA, U6 small nuclear 1106, pseudogene"			6q16.3			ENSG00000212147	106480053
RNU6-1107P	"RNA, U6 small nuclear 1107, pseudogene"			11q23.2			ENSG00000201687	106481529
RNU6-1108P	"RNA, U6 small nuclear 1108, pseudogene"			15q21.1			ENSG00000252117	107105259
RNU6-1109P	"RNA, U6 small nuclear 1109, pseudogene"			3q28			ENSG00000212489	106480054
RNU6-1110P	"RNA, U6 small nuclear 1110, pseudogene"			16q21			ENSG00000252271	106480638
RNU6-1111P	"RNA, U6 small nuclear 1111, pseudogene"			15q26.1			ENSG00000212420	106481530
RNU6-1112P	"RNA, U6 small nuclear 1112, pseudogene"			4p14			ENSG00000200455	106480055
RNU6-1113P	"RNA, U6 small nuclear 1113, pseudogene"			6p21.1			ENSG00000207076	106480056
RNU6-1114P	"RNA, U6 small nuclear 1114, pseudogene"			6p22.3			ENSG00000251831	106481531
RNU6-1115P	"RNA, U6 small nuclear 1115, pseudogene"			6q21			ENSG00000199360	106480639
RNU6-1116P	"RNA, U6 small nuclear 1116, pseudogene"			2p22.2			ENSG00000253078	106480057
RNU6-1117P	"RNA, U6 small nuclear 1117, pseudogene"			2p22.3			ENSG00000207255	106481532
RNU6-1118P	"RNA, U6 small nuclear 1118, pseudogene"			10p11.1			ENSG00000222314	106480058
RNU6-1119P	"RNA, U6 small nuclear 1119, pseudogene"			5q21.1			ENSG00000207077	106481533
RNU6-1120P	"RNA, U6 small nuclear 1120, pseudogene"			3q26.32			ENSG00000199858	106480059
RNU6-1121P	"RNA, U6 small nuclear 1121, pseudogene"			10q25.3			ENSG00000252611	106481780
RNU6-1122P	"RNA, U6 small nuclear 1122, pseudogene"			2q32.1			ENSG00000207178	106481936
RNU6-1123P	"RNA, U6 small nuclear 1123, pseudogene"			11q23.3			ENSG00000199217	106480060
RNU6-1124P	"RNA, U6 small nuclear 1124, pseudogene"			Xp11.4			ENSG00000206896	106481534
RNU6-1125P	"RNA, U6 small nuclear 1125, pseudogene"			7p11.2			ENSG00000200471	106480061
RNU6-1126P	"RNA, U6 small nuclear 1126, pseudogene"			7p11.2			ENSG00000206729	106481535
RNU6-1127P	"RNA, U6 small nuclear 1127, pseudogene"			3q13.33			ENSG00000207310	106480640
RNU6-1128P	"RNA, U6 small nuclear 1128, pseudogene"			22q12.2			ENSG00000199695	106480062
RNU6-1129P	"RNA, U6 small nuclear 1129, pseudogene"			3p12.1			ENSG00000251773	106481536
RNU6-1130P	"RNA, U6 small nuclear 1130, pseudogene"			Xq26.1			ENSG00000202304	106480063
RNU6-1131P	"RNA, U6 small nuclear 1131, pseudogene"			18q21.1			ENSG00000201825	106480064
RNU6-1132P	"RNA, U6 small nuclear 1132, pseudogene"			2q21.2			ENSG00000239108	106481937
RNU6-1133P	"RNA, U6 small nuclear 1133, pseudogene"	RNU6-186P		6p21.33			ENSG00000222895	106481537
RNU6-1134P	"RNA, U6 small nuclear 1134, pseudogene"			17q11.2			ENSG00000202026	106480065
RNU6-1135P	"RNA, U6 small nuclear 1135, pseudogene"			11q14.2			ENSG00000223015	106481538
RNU6-1136P	"RNA, U6 small nuclear 1136, pseudogene"			7q22.1			ENSG00000252643	106480066
RNU6-1137P	"RNA, U6 small nuclear 1137, pseudogene"			17q21.31			ENSG00000252882	106480067
RNU6-1138P	"RNA, U6 small nuclear 1138, pseudogene"			14q11.2			ENSG00000202229	106480641
RNU6-1139P	"RNA, U6 small nuclear 1139, pseudogene"			1q43			ENSG00000223119	106481539
RNU6-1140P	"RNA, U6 small nuclear 1140, pseudogene"			2q37.3			ENSG00000222449	106480068
RNU6-1141P	"RNA, U6 small nuclear 1141, pseudogene"			10p12.31			ENSG00000201390	106481540
RNU6-1143P	"RNA, U6 small nuclear 1143, pseudogene"			11p15.4			ENSG00000251934	106480069
RNU6-1144P	"RNA, U6 small nuclear 1144, pseudogene"			6q21			ENSG00000206974	106481938
RNU6-1145P	"RNA, U6 small nuclear 1145, pseudogene"			2p15			ENSG00000206973	106481541
RNU6-1146P	"RNA, U6 small nuclear 1146, pseudogene"			20q13.31			ENSG00000252091	106480070
RNU6-1147P	"RNA, U6 small nuclear 1147, pseudogene"			2q14.3			ENSG00000200250	106480071
RNU6-1148P	"RNA, U6 small nuclear 1148, pseudogene"			5q31.2			ENSG00000222924	106480642
RNU6-1149P	"RNA, U6 small nuclear 1149, pseudogene"			21q22.3			ENSG00000252619	106481542
RNU6-1150P	"RNA, U6 small nuclear 1150, pseudogene"			21q22.3			ENSG00000252606	106480072
RNU6-1151P	"RNA, U6 small nuclear 1151, pseudogene"			8p23.1			ENSG00000207415	106481543
RNU6-1152P	"RNA, U6 small nuclear 1152, pseudogene"			17q21.32			ENSG00000207306	106480073
RNU6-1153P	"RNA, U6 small nuclear 1153, pseudogene"			16q12.2			ENSG00000252569	106480643
RNU6-1154P	"RNA, U6 small nuclear 1154, pseudogene"			7q33			ENSG00000212303	106480074
RNU6-1155P	"RNA, U6 small nuclear 1155, pseudogene"			16q21			ENSG00000200424	106481544
RNU6-1156P	"RNA, U6 small nuclear 1156, pseudogene"			11q24.2			ENSG00000222297	106480075
RNU6-1157P	"RNA, U6 small nuclear 1157, pseudogene"			11q23.3			ENSG00000207185	106481545
RNU6-1158P	"RNA, U6 small nuclear 1158, pseudogene"			17q22			ENSG00000212469	106480076
RNU6-1159P	"RNA, U6 small nuclear 1159, pseudogene"			20p12.1			ENSG00000199803	106481939
RNU6-1160P	"RNA, U6 small nuclear 1160, pseudogene"			9q22.32			ENSG00000207276	106481546
RNU6-1161P	"RNA, U6 small nuclear 1161, pseudogene"			22q13.31			ENSG00000251985	106480077
RNU6-1162P	"RNA, U6 small nuclear 1162, pseudogene"			14q23.2			ENSG00000207172	106480078
RNU6-1163P	"RNA, U6 small nuclear 1163, pseudogene"			6q21			ENSG00000201386	106481547
RNU6-1164P	"RNA, U6 small nuclear 1164, pseudogene"			5q31.1			ENSG00000201298	106480644
RNU6-1165P	"RNA, U6 small nuclear 1165, pseudogene"			10q24.32			ENSG00000222051	106480079
RNU6-1167P	"RNA, U6 small nuclear 1167, pseudogene"			10p11.21			ENSG00000200097	106480407
RNU6-1168P	"RNA, U6 small nuclear 1168, pseudogene"			2p11.2			ENSG00000212133	106481548
RNU6-1169P	"RNA, U6 small nuclear 1169, pseudogene"			15q15.1			ENSG00000200407	106480080
RNU6-1170P	"RNA, U6 small nuclear 1170, pseudogene"			10q11.21			ENSG00000251783	106480081
RNU6-1171P	"RNA, U6 small nuclear 1171, pseudogene"			1p36.11			ENSG00000252515	106481940
RNU6-1172P	"RNA, U6 small nuclear 1172, pseudogene"			8q22.1			ENSG00000202095	106481549
RNU6-1174P	"RNA, U6 small nuclear 1174, pseudogene"			3q22.2			ENSG00000253087	106481550
RNU6-1175P	"RNA, U6 small nuclear 1175, pseudogene"			11q13.3			ENSG00000202070	106480082
RNU6-1176P	"RNA, U6 small nuclear 1176, pseudogene"			1p31.3			ENSG00000212257	106481551
RNU6-1177P	"RNA, U6 small nuclear 1177, pseudogene"			1p31.3			ENSG00000212360	106480645
RNU6-1178P	"RNA, U6 small nuclear 1178, pseudogene"			17p11.2			ENSG00000252483	106480083
RNU6-1179P	"RNA, U6 small nuclear 1179, pseudogene"			19p12			ENSG00000207397	106480084
RNU6-1180P	"RNA, U6 small nuclear 1180, pseudogene"			2q13			ENSG00000201805	106481552
RNU6-1181P	"RNA, U6 small nuclear 1181, pseudogene"			3p14.3			ENSG00000206918	106480085
RNU6-1183P	"RNA, U6 small nuclear 1183, pseudogene"			12q23.2			ENSG00000252863	106481941
RNU6-1184P	"RNA, U6 small nuclear 1184, pseudogene"			7q35			ENSG00000207318	106481553
RNU6-1186P	"RNA, U6 small nuclear 1186, pseudogene"			15q26.3			ENSG00000222361	106480086
RNU6-1187P	"RNA, U6 small nuclear 1187, pseudogene"			4q21.1			ENSG00000201641	106481554
RNU6-1188P	"RNA, U6 small nuclear 1188, pseudogene"			12q24.21			ENSG00000200665	106480408
RNU6-1189P	"RNA, U6 small nuclear 1189, pseudogene"			Xp11.23			ENSG00000206685	106480646
RNU6-1190P	"RNA, U6 small nuclear 1190, pseudogene"			5p13.2			ENSG00000222743	106480087
RNU6-1191P	"RNA, U6 small nuclear 1191, pseudogene"			16q23.2			ENSG00000252608	106481555
RNU6-1192P	"RNA, U6 small nuclear 1192, pseudogene"			17q12			ENSG00000277029	106480088
RNU6-1193P	"RNA, U6 small nuclear 1193, pseudogene"			9q21.11			ENSG00000238551	106481556
RNU6-1194P	"RNA, U6 small nuclear 1194, pseudogene"			3p26.3			ENSG00000252017	106481557
RNU6-1195P	"RNA, U6 small nuclear 1195, pseudogene"			4p14			ENSG00000207198	106480647
RNU6-1196P	"RNA, U6 small nuclear 1196, pseudogene"			4q31.3			ENSG00000252030	106480089
RNU6-1197P	"RNA, U6 small nuclear 1197, pseudogene"			8q21.11			ENSG00000212485	106481558
RNU6-1198P	"RNA, U6 small nuclear 1198, pseudogene"			7q11.23			ENSG00000252713	106480090
RNU6-1199P	"RNA, U6 small nuclear 1199, pseudogene"			1p36.33			ENSG00000223181	106480091
RNU6-1200P	"RNA, U6 small nuclear 1200, pseudogene"			3q13.31			ENSG00000206889	106481559
RNU6-1201P	"RNA, U6 small nuclear 1201, pseudogene"			17q21.32			ENSG00000206954	106481942
RNU6-1203P	"RNA, U6 small nuclear 1203, pseudogene"			12q13.11			ENSG00000222635	106480092
RNU6-1204P	"RNA, U6 small nuclear 1204, pseudogene"			14q22.3			ENSG00000200818	106481560
RNU6-1205P	"RNA, U6 small nuclear 1205, pseudogene"			1q44			ENSG00000200495	106480093
RNU6-1206P	"RNA, U6 small nuclear 1206, pseudogene"			2q33.1			ENSG00000252148	106481561
RNU6-1207P	"RNA, U6 small nuclear 1207, pseudogene"			10q11.21			ENSG00000207071	106480648
RNU6-1208P	"RNA, U6 small nuclear 1208, pseudogene"			1p36.11			ENSG00000238482	106480094
RNU6-1209P	"RNA, U6 small nuclear 1209, pseudogene"			8q22.1			ENSG00000200525	106480095
RNU6-1210P	"RNA, U6 small nuclear 1210, pseudogene"			18p11.21			ENSG00000200645	106481562
RNU6-1211P	"RNA, U6 small nuclear 1211, pseudogene"			1q42.2			ENSG00000238382	106480096
RNU6-1212P	"RNA, U6 small nuclear 1212, pseudogene"			10p12.31			ENSG00000252832	106481943
RNU6-1213P	"RNA, U6 small nuclear 1213, pseudogene"			8q21.13			ENSG00000252884	106481563
RNU6-1214P	"RNA, U6 small nuclear 1214, pseudogene"			4q31.1			ENSG00000200520	106481781
RNU6-1215P	"RNA, U6 small nuclear 1215, pseudogene"			2p24.2			ENSG00000207170	106480097
RNU6-1216P	"RNA, U6 small nuclear 1216, pseudogene"			2p13.3			ENSG00000199460	106480098
RNU6-1217P	"RNA, U6 small nuclear 1217, pseudogene"			4q26			ENSG00000223208	106481564
RNU6-1218P	"RNA, U6 small nuclear 1218, pseudogene"			8p12			ENSG00000239175	106480099
RNU6-1219P	"RNA, U6 small nuclear 1219, pseudogene"			22q12.1			ENSG00000251952	106480649
RNU6-1220P	"RNA, U6 small nuclear 1220, pseudogene"			8q21.12			ENSG00000252935	106481565
RNU6-1222P	"RNA, U6 small nuclear 1222, pseudogene"			6q24.3			ENSG00000207345	106480100
RNU6-1223P	"RNA, U6 small nuclear 1223, pseudogene"			19p13.3			ENSG00000252933	106481566
RNU6-1224P	"RNA, U6 small nuclear 1224, pseudogene"			8q22.3			ENSG00000252593	106480101
RNU6-1225P	"RNA, U6 small nuclear 1225, pseudogene"			Xq12			ENSG00000252145	106480650
RNU6-1226P	"RNA, U6 small nuclear 1226, pseudogene"			6q21			ENSG00000207044	106480102
RNU6-1227P	"RNA, U6 small nuclear 1227, pseudogene"			3p22.2			ENSG00000206708	106481567
RNU6-1228P	"RNA, U6 small nuclear 1228, pseudogene"			9q21.13			ENSG00000212316	106480103
RNU6-1229P	"RNA, U6 small nuclear 1229, pseudogene"			7q11.21			ENSG00000201165	106481568
RNU6-1230P	"RNA, U6 small nuclear 1230, pseudogene"			4q31.23			ENSG00000207121	106481944
RNU6-1231P	"RNA, U6 small nuclear 1231, pseudogene"			10q24.32			ENSG00000252994	106480104
RNU6-1232P	"RNA, U6 small nuclear 1232, pseudogene"			5q13.1			ENSG00000252108	106480105
RNU6-1233P	"RNA, U6 small nuclear 1233, pseudogene"			3q26.31			ENSG00000199792	106481569
RNU6-1234P	"RNA, U6 small nuclear 1234, pseudogene"			14q12			ENSG00000252686	106480106
RNU6-1235P	"RNA, U6 small nuclear 1235, pseudogene"			15q11.2			ENSG00000207289	106480701
RNU6-1236P	"RNA, U6 small nuclear 1236, pseudogene"			3q13.13			ENSG00000252889	106481570
RNU6-1237P	"RNA, U6 small nuclear 1237, pseudogene"			1p34.2			ENSG00000207508	106480651
RNU6-1238P	"RNA, U6 small nuclear 1238, pseudogene"			11q13.2			ENSG00000253024	106480107
RNU6-1239P	"RNA, U6 small nuclear 1239, pseudogene"			14q11.2			ENSG00000212612	106481571
RNU6-1240P	"RNA, U6 small nuclear 1240, pseudogene"			1q31.1			ENSG00000202025	106866914
RNU6-1241P	"RNA, U6 small nuclear 1241, pseudogene"			16p12.1			ENSG00000207266	106481572
RNU6-1242P	"RNA, U6 small nuclear 1242, pseudogene"			18q12.3			ENSG00000212354	106480108
RNU6-1243P	"RNA, U6 small nuclear 1243, pseudogene"			11q12.3			ENSG00000200898	106481573
RNU6-1244P	"RNA, U6 small nuclear 1244, pseudogene"			10p11.22			ENSG00000200484	106481945
RNU6-1245P	"RNA, U6 small nuclear 1245, pseudogene"			1p35.3			ENSG00000223062	106480109
RNU6-1246P	"RNA, U6 small nuclear 1246, pseudogene"			1p31.1			ENSG00000212366	106480110
RNU6-1247P	"RNA, U6 small nuclear 1247, pseudogene"			6q25.1			ENSG00000252431	106481574
RNU6-1248P	"RNA, U6 small nuclear 1248, pseudogene"			1q41			ENSG00000212398	106480111
RNU6-1249P	"RNA, U6 small nuclear 1249, pseudogene"			17q22			ENSG00000200107	106480652
RNU6-1250P	"RNA, U6 small nuclear 1250, pseudogene"			10q21.3			ENSG00000212520	106481575
RNU6-1251P	"RNA, U6 small nuclear 1251, pseudogene"			20q13.12			ENSG00000201372	106480112
RNU6-1252P	"RNA, U6 small nuclear 1252, pseudogene"			4q12			ENSG00000199924	106480113
RNU6-1254P	"RNA, U6 small nuclear 1254, pseudogene"			7q11.21			ENSG00000212568	106481576
RNU6-1255P	"RNA, U6 small nuclear 1255, pseudogene"			8q24.21			ENSG00000200304	106481946
RNU6-1256P	"RNA, U6 small nuclear 1256, pseudogene"			3q12.3			ENSG00000252348	106480114
RNU6-1257P	"RNA, U6 small nuclear 1257, pseudogene"			20p11.21			ENSG00000207355	106481577
RNU6-1258P	"RNA, U6 small nuclear 1258, pseudogene"			14q32.12			ENSG00000252720	106480115
RNU6-1260P	"RNA, U6 small nuclear 1260, pseudogene"			9p22.3			ENSG00000199814	106481578
RNU6-1261P	"RNA, U6 small nuclear 1261, pseudogene"			14q13.1			ENSG00000253003	106480116
RNU6-1262P	"RNA, U6 small nuclear 1262, pseudogene"			16q22.1			ENSG00000252026	106480409
RNU6-1263P	"RNA, U6 small nuclear 1263, pseudogene"			3q12.1			ENSG00000207331	106480653
RNU6-1264P	"RNA, U6 small nuclear 1264, pseudogene"			17p13.2			ENSG00000206618	106480117
RNU6-1265P	"RNA, U6 small nuclear 1265, pseudogene"			1p36.21			ENSG00000252151	106481579
RNU6-1266P	"RNA, U6 small nuclear 1266, pseudogene"			10q22.3			ENSG00000199664	106480118
RNU6-1267P	"RNA, U6 small nuclear 1267, pseudogene"			17q11.2			ENSG00000222679	106481580
RNU6-1268P	"RNA, U6 small nuclear 1268, pseudogene"			14q11.2			ENSG00000212516	106480654
RNU6-1269P	"RNA, U6 small nuclear 1269, pseudogene"			9p12			ENSG00000212441	106480119
RNU6-1270P	"RNA, U6 small nuclear 1270, pseudogene"			3p13			ENSG00000252937	106481581
RNU6-1271P	"RNA, U6 small nuclear 1271, pseudogene"			12q21.2			ENSG00000252858	106480120
RNU6-1272P	"RNA, U6 small nuclear 1272, pseudogene"			7q34			ENSG00000199646	106480121
RNU6-1273P	"RNA, U6 small nuclear 1273, pseudogene"			12q13.12			ENSG00000199903	106481947
RNU6-1274P	"RNA, U6 small nuclear 1274, pseudogene"			10q24.1			ENSG00000207287	106481582
RNU6-1275P	"RNA, U6 small nuclear 1275, pseudogene"			2q22.3			ENSG00000212389	106480122
RNU6-1276P	"RNA, U6 small nuclear 1276, pseudogene"			8p21.1			ENSG00000202242	106481583
RNU6-1277P	"RNA, U6 small nuclear 1277, pseudogene"			14q21.1			ENSG00000201431	106480123
RNU6-1278P	"RNA, U6 small nuclear 1278, pseudogene"			18q21.1			ENSG00000251939	106480124
RNU6-1279P	"RNA, U6 small nuclear 1279, pseudogene"			3q29			ENSG00000206644	106480655
RNU6-1280P	"RNA, U6 small nuclear 1280, pseudogene"			15q25.3			ENSG00000202081	106481584
RNU6-1281P	"RNA, U6 small nuclear 1281, pseudogene"			1p32.3			ENSG00000252032	106480125
RNU6-1282P	"RNA, U6 small nuclear 1282, pseudogene"			4q31.3			ENSG00000252544	106481585
RNU6-1283P	"RNA, U6 small nuclear 1283, pseudogene"			1q44			ENSG00000202184	106481782
RNU6-1284P	"RNA, U6 small nuclear 1284, pseudogene"			3q22.3			ENSG00000200571	106480126
RNU6-1285P	"RNA, U6 small nuclear 1285, pseudogene"			4q31.3			ENSG00000200350	106481948
RNU6-1286P	"RNA, U6 small nuclear 1286, pseudogene"			6q22.31			ENSG00000206598	106481586
RNU6-1287P	"RNA, U6 small nuclear 1287, pseudogene"			15q21.3			ENSG00000199784	106480127
RNU6-1288P	"RNA, U6 small nuclear 1288, pseudogene"			2p24.3			ENSG00000251859	106480128
RNU6-1289P	"RNA, U6 small nuclear 1289, pseudogene"			18q11.2			ENSG00000207160	106481587
RNU6-1290P	"RNA, U6 small nuclear 1290, pseudogene"			2q31.1			ENSG00000199827	106480129
RNU6-1291P	"RNA, U6 small nuclear 1291, pseudogene"			14q22.1			ENSG00000252400	106481588
RNU6-1292P	"RNA, U6 small nuclear 1292, pseudogene"			11q14.1			ENSG00000206583	106480656
RNU6-1293P	"RNA, U6 small nuclear 1293, pseudogene"			9q21.11			ENSG00000206804	106480130
RNU6-1294P	"RNA, U6 small nuclear 1294, pseudogene"			3q23			ENSG00000251804	106480131
RNU6-1296P	"RNA, U6 small nuclear 1296, pseudogene"			5q11.1			ENSG00000206606	106480132
RNU6-1297P	"RNA, U6 small nuclear 1297, pseudogene"			1q22			ENSG00000207144	106480657
RNU6-1298P	"RNA, U6 small nuclear 1298, pseudogene"			4q22.1			ENSG00000199326	106481590
RNU6-1299P	"RNA, U6 small nuclear 1299, pseudogene"			6q21			ENSG00000252125	106480133
RNU6-1300P	"RNA, U6 small nuclear 1300, pseudogene"			8q21.11			ENSG00000212348	106480134
RNU6-1301P	"RNA, U6 small nuclear 1301, pseudogene"			3p22.2			ENSG00000199594	106481591
RNU6-1303P	"RNA, U6 small nuclear 1303, pseudogene"			9q21.2			ENSG00000201711	106481949
RNU6-1304P	"RNA, U6 small nuclear 1304, pseudogene"			1q42.12			ENSG00000223306	106480135
RNU6-1305P	"RNA, U6 small nuclear 1305, pseudogene"			5p13.2			ENSG00000201223	106481592
RNU6-1306P	"RNA, U6 small nuclear 1306, pseudogene"			11q13.1			ENSG00000202089	106480136
RNU6-1307P	"RNA, U6 small nuclear 1307, pseudogene"			19q13.42			ENSG00000212314	106481593
RNU6-1308P	"RNA, U6 small nuclear 1308, pseudogene"			3q13.12			ENSG00000252626	106480137
RNU6-1309P	"RNA, U6 small nuclear 1309, pseudogene"			1q21.3			ENSG00000200175	106480410
RNU6-1310P	"RNA, U6 small nuclear 1310, pseudogene"			1q24.2			ENSG00000206880	106480658
RNU6-1311P	"RNA, U6 small nuclear 1311, pseudogene"			5q31.1			ENSG00000207459	106480138
RNU6-1312P	"RNA, U6 small nuclear 1312, pseudogene"			2p11.2			ENSG00000199295	106481594
RNU6-1313P	"RNA, U6 small nuclear 1313, pseudogene"			17q21.33			ENSG00000199492	106480139
RNU6-1314P	"RNA, U6 small nuclear 1314, pseudogene"			Yq11.23			ENSG00000252948	106481595
RNU6-1315P	"RNA, U6 small nuclear 1315, pseudogene"			12p13.33			ENSG00000252996	106481950
RNU6-1316P	"RNA, U6 small nuclear 1316, pseudogene"			14q32.32			ENSG00000206969	106480140
RNU6-1317P	"RNA, U6 small nuclear 1317, pseudogene"			3q26.31			ENSG00000201452	106481596
RNU6-1318P	"RNA, U6 small nuclear 1318, pseudogene"			1p21.2			ENSG00000202259	106480141
RNU6-1319P	"RNA, U6 small nuclear 1319, pseudogene"			1q42.11			ENSG00000212157	106480142
RNU6-1320P	"RNA, U6 small nuclear 1320, pseudogene"			2q11.1			ENSG00000212140	106480659
RNU6-1321P	"RNA, U6 small nuclear 1321, pseudogene"			Xp11.4			ENSG00000212207	106481597
RNU6-1322P	"RNA, U6 small nuclear 1322, pseudogene"			7q22.3			ENSG00000201179	106480143
RNU6-1323P	"RNA, U6 small nuclear 1323, pseudogene"			Xq23			ENSG00000206752	106481598
RNU6-1324P	"RNA, U6 small nuclear 1324, pseudogene"			8q13.1			ENSG00000206949	106480144
RNU6-1325P	"RNA, U6 small nuclear 1325, pseudogene"			4q13.1			ENSG00000201775	106480145
RNU6-1326P	"RNA, U6 small nuclear 1326, pseudogene"			21q21.1			ENSG00000212564	106481951
RNU6-1327P	"RNA, U6 small nuclear 1327, pseudogene"			9p24.3			ENSG00000202172	106481599
RNU6-1328P	"RNA, U6 small nuclear 1328, pseudogene"			7q21.3			ENSG00000222870	106480146
RNU6-1329P	"RNA, U6 small nuclear 1329, pseudogene"			12q22			ENSG00000202534	106481600
RNU6-1330P	"RNA, U6 small nuclear 1330, pseudogene"			5q13.3			ENSG00000199645	106480411
RNU6-1331P	"RNA, U6 small nuclear 1331, pseudogene"			8q11.23			ENSG00000200528	106480147
RNU6-1332P	"RNA, U6 small nuclear 1332, pseudogene"			15q21.1			ENSG00000252475	106480660
